first_guess,answer,final_guess,n_guesses,play_time,agent
soare,prove,prove,2,0.002563953399658203,MaxInfoAgent
soare,bring,bring,5,0.0072803497314453125,MaxInfoAgent
soare,solve,solve,2,0.0015561580657958984,MaxInfoAgent
soare,cheat,cheat,4,0.011751174926757812,MaxInfoAgent
soare,grime,grime,5,0.006774187088012695,MaxInfoAgent
soare,exult,exult,4,0.015546798706054688,MaxInfoAgent
soare,usher,usher,4,0.006374835968017578,MaxInfoAgent
soare,epoch,epoch,4,0.007596731185913086,MaxInfoAgent
soare,triad,triad,4,0.012564897537231445,MaxInfoAgent
soare,break,break,4,0.007075071334838867,MaxInfoAgent
soare,rhino,rhino,3,0.003554105758666992,MaxInfoAgent
soare,viral,viral,3,0.011761903762817383,MaxInfoAgent
soare,conic,conic,3,0.0065958499908447266,MaxInfoAgent
soare,masse,masse,3,0.0031991004943847656,MaxInfoAgent
soare,sonic,sonic,3,0.0031659603118896484,MaxInfoAgent
soare,vital,vital,4,0.013397216796875,MaxInfoAgent
soare,trace,trace,3,0.0068857669830322266,MaxInfoAgent
soare,using,using,3,0.007647037506103516,MaxInfoAgent
soare,peach,peach,4,0.0046939849853515625,MaxInfoAgent
soare,champ,champ,4,0.00599217414855957,MaxInfoAgent
soare,baton,baton,3,0.004147052764892578,MaxInfoAgent
soare,brake,brake,5,0.00540471076965332,MaxInfoAgent
soare,pluck,pluck,3,0.012166261672973633,MaxInfoAgent
soare,craze,craze,5,0.01519012451171875,MaxInfoAgent
soare,gripe,gripe,3,0.0032830238342285156,MaxInfoAgent
soare,weary,weary,4,0.004332065582275391,MaxInfoAgent
soare,picky,picky,4,0.01741480827331543,MaxInfoAgent
soare,acute,acute,4,0.01670098304748535,MaxInfoAgent
soare,ferry,ferry,4,0.005671977996826172,MaxInfoAgent
soare,aside,aside,3,0.003083944320678711,MaxInfoAgent
soare,tapir,tapir,3,0.00622105598449707,MaxInfoAgent
soare,troll,troll,4,0.005406379699707031,MaxInfoAgent
soare,unify,unify,3,0.014354228973388672,MaxInfoAgent
soare,rebus,rebus,3,0.00467991828918457,MaxInfoAgent
soare,boost,boost,3,0.006799936294555664,MaxInfoAgent
soare,truss,truss,3,0.004003763198852539,MaxInfoAgent
soare,siege,siege,4,0.007258176803588867,MaxInfoAgent
soare,tiger,tiger,6,0.019514083862304688,MaxInfoAgent
soare,banal,banal,4,0.013477087020874023,MaxInfoAgent
soare,slump,slump,4,0.0227510929107666,MaxInfoAgent
soare,crank,crank,4,0.010052919387817383,MaxInfoAgent
soare,gorge,gorge,3,0.00290679931640625,MaxInfoAgent
soare,query,query,4,0.008888006210327148,MaxInfoAgent
soare,drink,drink,3,0.0042591094970703125,MaxInfoAgent
soare,favor,favor,4,0.004372835159301758,MaxInfoAgent
soare,abbey,abbey,4,0.015553712844848633,MaxInfoAgent
soare,tangy,tangy,3,0.00921773910522461,MaxInfoAgent
soare,panic,panic,4,0.01163792610168457,MaxInfoAgent
soare,solar,solar,3,0.00852513313293457,MaxInfoAgent
soare,shire,shire,3,0.003244161605834961,MaxInfoAgent
soare,proxy,proxy,4,0.005918979644775391,MaxInfoAgent
soare,point,point,4,0.01429295539855957,MaxInfoAgent
soare,robot,robot,3,0.0031452178955078125,MaxInfoAgent
soare,prick,prick,4,0.007999181747436523,MaxInfoAgent
soare,wince,wince,4,0.006159067153930664,MaxInfoAgent
soare,crimp,crimp,4,0.005877971649169922,MaxInfoAgent
soare,knoll,knoll,4,0.023188114166259766,MaxInfoAgent
soare,sugar,sugar,3,0.006127834320068359,MaxInfoAgent
soare,whack,whack,4,0.005753993988037109,MaxInfoAgent
soare,mount,mount,5,0.01446080207824707,MaxInfoAgent
soare,perky,perky,4,0.0071179866790771484,MaxInfoAgent
soare,could,could,4,0.013872146606445312,MaxInfoAgent
soare,wrung,wrung,4,0.005465030670166016,MaxInfoAgent
soare,light,light,4,0.015318870544433594,MaxInfoAgent
soare,those,those,4,0.0040760040283203125,MaxInfoAgent
soare,moist,moist,4,0.013781070709228516,MaxInfoAgent
soare,shard,shard,5,0.005921125411987305,MaxInfoAgent
soare,pleat,pleat,3,0.011593818664550781,MaxInfoAgent
soare,aloft,aloft,3,0.005808830261230469,MaxInfoAgent
soare,skill,skill,5,0.010556936264038086,MaxInfoAgent
soare,elder,elder,4,0.012338876724243164,MaxInfoAgent
soare,frame,frame,5,0.007867097854614258,MaxInfoAgent
soare,humor,humor,4,0.010538816452026367,MaxInfoAgent
soare,pause,pause,3,0.003239154815673828,MaxInfoAgent
soare,ulcer,ulcer,5,0.012451887130737305,MaxInfoAgent
soare,ultra,ultra,4,0.009505987167358398,MaxInfoAgent
soare,robin,robin,3,0.005043983459472656,MaxInfoAgent
soare,cynic,cynic,4,0.009020805358886719,MaxInfoAgent
soare,agora,agora,4,0.010634899139404297,MaxInfoAgent
soare,aroma,aroma,3,0.003133058547973633,MaxInfoAgent
soare,caulk,caulk,4,0.012994050979614258,MaxInfoAgent
soare,shake,shake,6,0.006781101226806641,MaxInfoAgent
soare,pupal,pupal,4,0.010979175567626953,MaxInfoAgent
soare,dodge,dodge,4,0.00516819953918457,MaxInfoAgent
soare,swill,swill,3,0.0059757232666015625,MaxInfoAgent
soare,tacit,tacit,4,0.01764512062072754,MaxInfoAgent
soare,other,other,3,0.003213644027709961,MaxInfoAgent
soare,thorn,thorn,3,0.0029582977294921875,MaxInfoAgent
soare,trove,trove,5,0.012869119644165039,MaxInfoAgent
soare,bloke,bloke,4,0.004290103912353516,MaxInfoAgent
soare,vivid,vivid,4,0.013466835021972656,MaxInfoAgent
soare,spill,spill,4,0.008580923080444336,MaxInfoAgent
soare,chant,chant,3,0.004318952560424805,MaxInfoAgent
soare,choke,choke,3,0.009558916091918945,MaxInfoAgent
soare,rupee,rupee,4,0.006448984146118164,MaxInfoAgent
soare,nasty,nasty,3,0.015162944793701172,MaxInfoAgent
soare,mourn,mourn,4,0.004586935043334961,MaxInfoAgent
soare,ahead,ahead,4,0.009183883666992188,MaxInfoAgent
soare,brine,brine,4,0.011003971099853516,MaxInfoAgent
soare,cloth,cloth,4,0.011483907699584961,MaxInfoAgent
soare,hoard,hoard,3,0.008463144302368164,MaxInfoAgent
soare,sweet,sweet,4,0.005917072296142578,MaxInfoAgent
soare,month,month,3,0.006885051727294922,MaxInfoAgent
soare,lapse,lapse,3,0.002998828887939453,MaxInfoAgent
soare,watch,latch,6,0.015326976776123047,MaxInfoAgent
soare,today,today,3,0.007414102554321289,MaxInfoAgent
soare,focus,focus,4,0.022470951080322266,MaxInfoAgent
soare,smelt,smelt,3,0.011551141738891602,MaxInfoAgent
soare,tease,tease,4,0.004150867462158203,MaxInfoAgent
soare,cater,cater,6,0.009169816970825195,MaxInfoAgent
soare,movie,movie,3,0.0032660961151123047,MaxInfoAgent
soare,lynch,lynch,4,0.014934062957763672,MaxInfoAgent
soare,saute,saute,3,0.0027360916137695312,MaxInfoAgent
soare,allow,allow,4,0.006970882415771484,MaxInfoAgent
soare,renew,renew,4,0.014963865280151367,MaxInfoAgent
soare,their,their,3,0.007080078125,MaxInfoAgent
soare,slosh,slosh,4,0.011433124542236328,MaxInfoAgent
soare,purge,purge,4,0.010785102844238281,MaxInfoAgent
soare,chest,chest,3,0.008963823318481445,MaxInfoAgent
soare,depot,depot,4,0.012756109237670898,MaxInfoAgent
soare,epoxy,epoxy,4,0.005072116851806641,MaxInfoAgent
soare,nymph,nymph,3,0.00887298583984375,MaxInfoAgent
soare,found,mound,6,0.01238107681274414,MaxInfoAgent
soare,shall,shall,5,0.011778831481933594,MaxInfoAgent
soare,harry,harry,2,0.004561185836791992,MaxInfoAgent
soare,stove,stove,6,0.006856203079223633,MaxInfoAgent
soare,lowly,lowly,4,0.014203071594238281,MaxInfoAgent
soare,snout,snout,5,0.02271890640258789,MaxInfoAgent
soare,trope,trope,4,0.009120941162109375,MaxInfoAgent
soare,fewer,fewer,5,0.013564109802246094,MaxInfoAgent
soare,shawl,shawl,4,0.009801864624023438,MaxInfoAgent
soare,natal,natal,4,0.015094995498657227,MaxInfoAgent
soare,fibre,fibre,3,0.0058858394622802734,MaxInfoAgent
soare,comma,comma,3,0.01019597053527832,MaxInfoAgent
soare,foray,foray,4,0.009720802307128906,MaxInfoAgent
soare,scare,scare,6,0.006693840026855469,MaxInfoAgent
soare,stair,stair,2,0.00150299072265625,MaxInfoAgent
soare,black,black,4,0.01209712028503418,MaxInfoAgent
soare,squad,squad,4,0.009857177734375,MaxInfoAgent
soare,royal,royal,3,0.0030968189239501953,MaxInfoAgent
soare,chunk,chunk,3,0.007261991500854492,MaxInfoAgent
soare,mince,mince,3,0.014172792434692383,MaxInfoAgent
soare,slave,slave,3,0.002913236618041992,MaxInfoAgent
soare,shame,shame,5,0.008678913116455078,MaxInfoAgent
soare,cheek,cheek,4,0.010975837707519531,MaxInfoAgent
soare,ample,ample,4,0.005129098892211914,MaxInfoAgent
soare,flair,flair,4,0.006330251693725586,MaxInfoAgent
soare,foyer,foyer,5,0.006562232971191406,MaxInfoAgent
soare,cargo,cargo,3,0.003123044967651367,MaxInfoAgent
soare,oxide,oxide,3,0.0029141902923583984,MaxInfoAgent
soare,plant,plant,4,0.012233972549438477,MaxInfoAgent
soare,olive,olive,3,0.008430719375610352,MaxInfoAgent
soare,inert,inert,4,0.0045549869537353516,MaxInfoAgent
soare,askew,askew,3,0.0042400360107421875,MaxInfoAgent
soare,heist,heist,3,0.006166934967041016,MaxInfoAgent
soare,shown,shown,4,0.008595943450927734,MaxInfoAgent
soare,zesty,zesty,4,0.010294198989868164,MaxInfoAgent
soare,hasty,hasty,5,0.009453773498535156,MaxInfoAgent
soare,trash,trash,4,0.004722118377685547,MaxInfoAgent
soare,fella,fella,3,0.006533145904541016,MaxInfoAgent
soare,larva,larva,3,0.004889965057373047,MaxInfoAgent
soare,forgo,forgo,3,0.007153034210205078,MaxInfoAgent
soare,story,story,5,0.00917816162109375,MaxInfoAgent
soare,hairy,hairy,3,0.0030829906463623047,MaxInfoAgent
soare,train,train,3,0.003200054168701172,MaxInfoAgent
soare,homer,homer,4,0.011009693145751953,MaxInfoAgent
soare,badge,badge,3,0.010535955429077148,MaxInfoAgent
soare,midst,midst,4,0.0075762271881103516,MaxInfoAgent
soare,canny,canny,4,0.01711726188659668,MaxInfoAgent
soare,fetus,fetus,3,0.006613016128540039,MaxInfoAgent
soare,butch,butch,4,0.01411294937133789,MaxInfoAgent
soare,farce,farce,3,0.006541013717651367,MaxInfoAgent
soare,slung,slung,4,0.01632094383239746,MaxInfoAgent
soare,tipsy,tipsy,4,0.00745391845703125,MaxInfoAgent
soare,metal,metal,4,0.006953001022338867,MaxInfoAgent
soare,yield,yield,4,0.009752035140991211,MaxInfoAgent
soare,delve,delve,3,0.00913095474243164,MaxInfoAgent
soare,being,being,4,0.016315937042236328,MaxInfoAgent
soare,scour,scour,2,0.0014929771423339844,MaxInfoAgent
soare,glass,glass,3,0.003741025924682617,MaxInfoAgent
soare,gamer,gamer,6,0.017207860946655273,MaxInfoAgent
soare,scrap,scrap,2,0.007302284240722656,MaxInfoAgent
soare,money,money,3,0.004032135009765625,MaxInfoAgent
soare,hinge,hinge,5,0.016882896423339844,MaxInfoAgent
soare,album,album,4,0.010574817657470703,MaxInfoAgent
soare,vouch,vouch,5,0.015551090240478516,MaxInfoAgent
soare,asset,asset,3,0.005272865295410156,MaxInfoAgent
soare,tiara,tiara,3,0.0030760765075683594,MaxInfoAgent
soare,crept,crept,4,0.014655113220214844,MaxInfoAgent
soare,bayou,bayou,4,0.005513906478881836,MaxInfoAgent
soare,atoll,atoll,3,0.005908966064453125,MaxInfoAgent
soare,manor,manor,3,0.00981593132019043,MaxInfoAgent
soare,creak,creak,6,0.011391401290893555,MaxInfoAgent
soare,showy,showy,3,0.011085748672485352,MaxInfoAgent
soare,phase,phase,4,0.0054280757904052734,MaxInfoAgent
soare,froth,froth,4,0.014011144638061523,MaxInfoAgent
soare,depth,depth,4,0.012966156005859375,MaxInfoAgent
soare,gloom,gloom,4,0.013142108917236328,MaxInfoAgent
soare,flood,flood,3,0.013883829116821289,MaxInfoAgent
soare,trait,trait,4,0.005594015121459961,MaxInfoAgent
soare,girth,girth,5,0.012572765350341797,MaxInfoAgent
soare,piety,piety,4,0.01070404052734375,MaxInfoAgent
soare,payer,payer,5,0.015609979629516602,MaxInfoAgent
soare,goose,goose,5,0.005686044692993164,MaxInfoAgent
soare,float,float,4,0.012737035751342773,MaxInfoAgent
soare,donor,donor,4,0.004354238510131836,MaxInfoAgent
soare,atone,atone,3,0.0037958621978759766,MaxInfoAgent
soare,primo,primo,3,0.006679058074951172,MaxInfoAgent
soare,apron,apron,3,0.008707761764526367,MaxInfoAgent
soare,blown,blown,3,0.00453495979309082,MaxInfoAgent
soare,cacao,cacao,3,0.006285905838012695,MaxInfoAgent
soare,loser,loser,2,0.003064870834350586,MaxInfoAgent
soare,input,input,4,0.016728878021240234,MaxInfoAgent
soare,gloat,gloat,3,0.005107879638671875,MaxInfoAgent
soare,awful,awful,4,0.016815900802612305,MaxInfoAgent
soare,brink,brink,4,0.005944013595581055,MaxInfoAgent
soare,smite,smite,4,0.01296377182006836,MaxInfoAgent
soare,beady,beady,3,0.006024837493896484,MaxInfoAgent
soare,rusty,rusty,3,0.003821849822998047,MaxInfoAgent
soare,retro,retro,3,0.002875089645385742,MaxInfoAgent
soare,droll,droll,4,0.008350133895874023,MaxInfoAgent
soare,gawky,gawky,6,0.014374971389770508,MaxInfoAgent
soare,hutch,hutch,3,0.019711017608642578,MaxInfoAgent
soare,pinto,pinto,3,0.01132512092590332,MaxInfoAgent
soare,gaily,gaily,5,0.020097017288208008,MaxInfoAgent
soare,egret,egret,4,0.01481175422668457,MaxInfoAgent
soare,lilac,lilac,4,0.016881942749023438,MaxInfoAgent
soare,sever,sever,4,0.004565000534057617,MaxInfoAgent
soare,field,field,4,0.00917506217956543,MaxInfoAgent
soare,fluff,fluff,4,0.019782066345214844,MaxInfoAgent
soare,hydro,hydro,3,0.0053310394287109375,MaxInfoAgent
soare,flack,flack,3,0.005182027816772461,MaxInfoAgent
soare,agape,agape,3,0.007158041000366211,MaxInfoAgent
soare,wench,wench,4,0.024020910263061523,MaxInfoAgent
soare,voice,voice,3,0.0032677650451660156,MaxInfoAgent
soare,stead,stead,2,0.002929210662841797,MaxInfoAgent
soare,stalk,stalk,4,0.004847049713134766,MaxInfoAgent
soare,berth,berth,4,0.007222652435302734,MaxInfoAgent
soare,madam,madam,4,0.01595902442932129,MaxInfoAgent
soare,night,night,4,0.01985311508178711,MaxInfoAgent
soare,bland,bland,4,0.01586604118347168,MaxInfoAgent
soare,liver,liver,4,0.013078927993774414,MaxInfoAgent
soare,wedge,wedge,5,0.022739887237548828,MaxInfoAgent
soare,augur,augur,4,0.009472131729125977,MaxInfoAgent
soare,roomy,roomy,3,0.012145757675170898,MaxInfoAgent
soare,wacky,wacky,3,0.021689891815185547,MaxInfoAgent
soare,flock,flock,4,0.01420903205871582,MaxInfoAgent
soare,angry,angry,3,0.0031778812408447266,MaxInfoAgent
soare,bobby,bobby,5,0.00966191291809082,MaxInfoAgent
soare,trite,trite,5,0.006473064422607422,MaxInfoAgent
soare,aphid,aphid,4,0.010687112808227539,MaxInfoAgent
soare,tryst,tryst,3,0.0041658878326416016,MaxInfoAgent
soare,midge,midge,4,0.014735221862792969,MaxInfoAgent
soare,power,power,6,0.007461071014404297,MaxInfoAgent
soare,elope,elope,4,0.004289865493774414,MaxInfoAgent
soare,cinch,cinch,4,0.014944076538085938,MaxInfoAgent
soare,motto,motto,3,0.010834932327270508,MaxInfoAgent
soare,stomp,stomp,4,0.016329050064086914,MaxInfoAgent
soare,upset,upset,4,0.009763956069946289,MaxInfoAgent
soare,bluff,bluff,4,0.008812904357910156,MaxInfoAgent
soare,cramp,cramp,4,0.004836082458496094,MaxInfoAgent
soare,quart,quart,3,0.004087209701538086,MaxInfoAgent
soare,coyly,coyly,4,0.01295328140258789,MaxInfoAgent
soare,youth,youth,4,0.009865045547485352,MaxInfoAgent
soare,rhyme,rhyme,4,0.005238771438598633,MaxInfoAgent
soare,buggy,buggy,5,0.01718592643737793,MaxInfoAgent
soare,alien,alien,4,0.009703874588012695,MaxInfoAgent
soare,smear,smear,2,0.0025980472564697266,MaxInfoAgent
soare,unfit,unfit,4,0.014583110809326172,MaxInfoAgent
soare,patty,patty,6,0.016185760498046875,MaxInfoAgent
soare,cling,cling,4,0.017292022705078125,MaxInfoAgent
soare,glean,glean,3,0.013092041015625,MaxInfoAgent
soare,label,label,6,0.013972997665405273,MaxInfoAgent
soare,hunky,hunky,4,0.018446922302246094,MaxInfoAgent
soare,khaki,khaki,3,0.007870912551879883,MaxInfoAgent
soare,poker,poker,6,0.012887001037597656,MaxInfoAgent
soare,gruel,gruel,5,0.023320674896240234,MaxInfoAgent
soare,twice,twice,4,0.01186990737915039,MaxInfoAgent
soare,twang,twang,4,0.008527040481567383,MaxInfoAgent
soare,shrug,shrug,3,0.00815892219543457,MaxInfoAgent
soare,treat,treat,4,0.00646209716796875,MaxInfoAgent
soare,unlit,unlit,3,0.009083986282348633,MaxInfoAgent
soare,waste,caste,6,0.008093833923339844,MaxInfoAgent
soare,merit,merit,4,0.013814210891723633,MaxInfoAgent
soare,woven,woven,3,0.005576133728027344,MaxInfoAgent
soare,octal,octal,3,0.008197307586669922,MaxInfoAgent
soare,needy,needy,3,0.009495973587036133,MaxInfoAgent
soare,clown,clown,4,0.01036691665649414,MaxInfoAgent
soare,widow,widow,4,0.00906825065612793,MaxInfoAgent
soare,irony,irony,4,0.005149126052856445,MaxInfoAgent
soare,ruder,ruder,3,0.005769014358520508,MaxInfoAgent
soare,gauze,gauze,4,0.005609989166259766,MaxInfoAgent
